quinto,クイント,KU I N TO
﻿heel out,ヒールアウト,HI - RU A U TO
﻿hero,ヒーロー,HI - RO -
﻿hear,ヒア,HI A
﻿hearing,ヒヤリング,HI YA RI N GU
﻿hieroglyph,ヒエラグリフ,HI E RA GU RI HU
﻿histamine,ヒスタミン,HI SU TA MI N
﻿hysteria,ヒステリー,HI SU TE RI -
﻿hysteric,ヒステリック,HI SU TE RI tsu KU
﻿histogram,ヒストグラム,HI SU TO GU RA MU
﻿history,ヒストリ,HI SU TO RI
﻿hiss noise,ヒスノイズ,HI SU NO I ZU
﻿hickory,ヒッコリー,HI tsu KO RI -
﻿hitting,ヒッティング,HI tsu TE i N GU
﻿hit,ヒット,HI tsu TO
﻿hit song,ヒットソング,HI tsu TO SO N GU
﻿hit chart,ヒットチャート,HI tsu TO TI ya - TO
﻿hit parade,ヒットパレード,HI tsu TO PA RE - DO
﻿hit man,ヒットマン,HI tsu TO MA N
﻿Hitler,ヒットラー,HI tsu TO RA -
﻿hippy,ヒッピー,HI tsu PI -
﻿hippie style,ヒッピースタイル,HI tsu PI - SU TA I RU
﻿hips,ヒップ,HI tsu PU
﻿hip cut,ヒップカット,HI tsu PU KA tsu TO
﻿hip pad,ヒップパッド,HI tsu PU PA tsu DO
﻿hipbone skirt,ヒップボーンスカート,HI tsu PU BO - N SU KA - TO
﻿Hitler,ヒトラー,HI TO RA -
﻿Houston,ヒューストン,HI yu - SU TO N
﻿fuse,ヒューズ,HI yu - ZU
﻿fuse cock,ヒューズコック,HI yu - ZU KO tsu KU
﻿humanoid,ヒューマノイド,HI yu - MA NO I DO
﻿human,ヒューマン,HI yu - MA N
﻿human interest,ヒューマンインタレスト,HI yu - MA N I N TA RE SU TO
﻿humanlike,ヒューマンライク,HI yu - MA N RA I KU
﻿human relations,ヒューマンリレーションズ,HI yu - MA N RI RE - SI yo N ZU
﻿heuristic,ヒューリスティック,HI yu - RI SU TE i tsu KU
﻿hill,ヒル,HI RU
﻿hill climb,ヒルクライム,HI RU KU RA I MU
﻿hillbilly music,ヒルビリーミュージック,HI RU BI RI - MI yu - ZI tsu KU
﻿Hilbert,ヒルベルト,HI RU BE RU TO
﻿heroic,ヒロイック,HI RO I tsu KU
﻿heroine,ヒロイン,HI RO I N
﻿Hindu,ヒンズー,HI N ZU -
﻿beaker,ビーカ,BI - KA
﻿beagle,ビーグル,BI - GU RU
﻿beacon,ビーコン,BI - KO N
﻿beads,ビーズ,BI - ZU
﻿beach,ビーチ,BI - TI
﻿beachwear,ビーチウエア,BI - TI U E A
﻿beach coat,ビーチコート,BI - TI KO - TO
﻿beach house,ビーチハウス,BI - TI HA U SU
﻿beet,ビート,BI - TO
﻿beat generation,ビートジェネレーション,BI - TO ZI e NE RE - SI yo N
﻿Beatles,ビートルズ,BI - TO RU ZU
﻿Venus,ビーナス,BI - NA SU
﻿beaver,ビーバー,BI - BA -
﻿beef,ビーフ,BI - HU
﻿beefalo,ビーファロー,BI - HU a RO -
﻿beefsteak,ビーフステーキ,BI - HU SU TE - KI
﻿beep,ビープ,BI - PU
﻿beam,ビーム,BI - MU
﻿beam rider,ビームライダー,BI - MU RA I DA -
﻿beer,ビール,BI - RU
﻿bean ball,ビーンボール,BI - N BO - RU
﻿Pieta,ビエタ,BI E TA
﻿vicuna,ビキューナ,BI KI yu - NA
﻿beginner,ビギナー,BI GI NA -
﻿victor,ビクター,BI KU TA -
﻿victory,ビクトリー,BI KU TO RI -
﻿visa,ビザ,BI ZA
﻿bishop,ビショップ,BI SI yo tsu PU
﻿busy,ビジー,BI ZI -
﻿visitor,ビジター,BI ZI TA -
﻿visitor fee,ビジターフィー,BI ZI TA - HU i -
﻿visiting team,ビジティングチーム,BI ZI TE i N GU TI - MU
﻿business,ビジネス,BI ZI NE SU
﻿business wear,ビジネスウエア,BI ZI NE SU U E A
﻿business college,ビジネスカレッジ,BI ZI NE SU KA RE tsu ZI
﻿business girl,ビジネスガール,BI ZI NE SU GA - RU
﻿business class,ビジネスクラス,BI ZI NE SU KU RA SU
﻿business game,ビジネスゲーム,BI ZI NE SU GE - MU
﻿business survey,ビジネスサーベイ,BI ZI NE SU SA - BE I
﻿business school,ビジネススクール,BI ZI NE SU SU KU - RU
﻿business leadership,ビジネスリーダーシップ,BI ZI NE SU RI - DA - SI tsu PU
﻿visualize,ビジュアライズ,BI ZI yu A RA I ZU
﻿visualization,ビジュアライゼーション,BI ZI yu A RA I ZE - SI yo N
﻿visualization,ビジュアリゼーション,BI ZI yu A RI ZE - SI yo N
﻿visual,ビジュアル,BI ZI yu A RU
﻿visual display,ビジュアルディスプレー,BI ZI yu A RU DE i SU PU RE -
﻿visual design,ビジュアルデザイン,BI ZI yu A RU DE ZA I N
﻿visual flight,ビジュアルフライト,BI ZI yu A RU HU RA I TO
﻿visual merchandising,ビジュアルマーチャンダイジング,BI ZI yu A RU MA - TI ya N DA I ZI N GU
﻿vision,ビジョン,BI ZI yo N
﻿bisque,ビスク,BI SU KU
﻿biscuit,ビスケット,BI SU KE tsu TO
﻿viscose,ビスコース,BI SU KO - SU
﻿bistro,ビストロ,BI SU TO RO
﻿vita camphor,ビタカンフル,BI TA KA N HU RU
﻿vitamin,ビタミン,BI TA MI N
﻿Vitarice,ビタライス,BI TA RA I SU
﻿big,ビッグ,BI tsu GU
﻿big event,ビッグイベント,BI tsu GU I BE N TO
﻿Big Egg,ビッグエッグ,BI tsu GU E tsu GU
﻿big card,ビッグカード,BI tsu GU KA - DO
﻿big bang,ビッグバン,BI tsu GU BA N
﻿big band,ビッグバンド,BI tsu GU BA N DO
﻿big business,ビッグビジネス,BI tsu GU BI ZI NE SU
﻿Big Ben,ビッグベン,BI tsu GU BE N
﻿bit,ビット,BI tsu TO
﻿bitmap,ビットマップ,BI tsu TO MA tsu PU
﻿bidet,ビデ,BI DE
﻿video,ビデオ,BI DE O
﻿video art,ビデオアート,BI DE O A - TO
﻿videocassette,ビデオカセット,BI DE O KA SE tsu TO
﻿video camera,ビデオカメラ,BI DE O KA ME RA
﻿video clip,ビデオクリップ,BI DE O KU RI tsu PU
﻿video game,ビデオゲーム,BI DE O GE - MU
﻿video shop,ビデオショップ,BI DE O SI yo tsu PU
﻿videogenic,ビデオジェニック,BI DE O ZI e NI tsu KU
﻿video soft,ビデオソフト,BI DE O SO HU TO
﻿video tape recorder,ビデオテープレコーダー,BI DE O TE - PU RE KO - DA -
﻿videotex,ビデオテックス,BI DE O TE tsu KU SU
﻿videodisc,ビデオディスク,BI DE O DE i SU KU
﻿video hall,ビデオホール,BI DE O HO - RU
﻿video meter,ビデオメーター,BI DE O ME - TA -
﻿vidicon,ビデコン,BI DE KO N
﻿vinyl,ビニール,BI NI - RU
﻿vinyl paint,ビニールペイント,BI NI - RU PE I N TO
﻿vinegar,ビネガー,BI NE GA -
﻿behind,ビハインド,BI HA I N DO
﻿vivid,ビビッド,BI BI tsu DO
﻿behaviour,ビヘイビア,BI HE I BI A
﻿behaviourism,ビヘイビアリズム,BI HE I BI A RI ZU MU
﻿view,ビュー,BI yu -
﻿viewer,ビューアー,BI yu - A -
﻿beauty,ビューティー,BI yu - TE i -
﻿beauty adviser,ビューティーアドバイザー,BI yu - TE i - A DO BA I ZA -
﻿beauty corner,ビューティーコーナー,BI yu - TE i - KO - NA -
﻿beauty cycle,ビューティーサイクル,BI yu - TE i - SA I KU RU
﻿beauty salon,ビューティーサロン,BI yu - TE i - SA RO N
﻿beauty spot,ビューティースポット,BI yu - TE i - SU PO tsu TO
﻿beauty parlor,ビューティーパーラー,BI yu - TE i - PA - RA -
﻿beautiful,ビューティフル,BI yu - TE i HU RU
﻿Viewtron,ビュートロン,BI yu - TO RO N
﻿bureaucrat,ビューロクラット,BI yu - RO KU RA tsu TO
﻿buffet,ビュッフェ,BI yu tsu HU e
﻿billiards,ビリヤード,BI RI YA - DO
﻿builder,ビルダ,BI RU DA
﻿building,ビルディング,BI RU DE i N GU
﻿village,ビレッジ,BI RE tsu ZI
﻿vintage,ビンテージ,BI N TE - ZI
﻿vintage year,ビンテージイヤー,BI N TE - ZI I YA -
﻿peak,ピーク,PI - KU
﻿pea coat,ピーコート,PI - KO - TO
﻿peacock,ピーコック,PI - KO tsu KU
﻿pea jacket,ピージャケット,PI - ZI ya KE tsu TO
﻿peace,ピース,PI - SU
﻿piecework,ピースワーク,PI - SU WA - KU
﻿peach,ピーチ,PI - TI
﻿peanuts,ピーナッツ,PI - NA tsu TU
﻿Peeping Tom,ピーピングトム,PI - PI N GU TO MU
﻿peahen,ピーヘン,PI - HE N
﻿piazza,ピアッツァ,PI A tsu TU a
﻿pianist,ピアニスト,PI A NI SU TO
﻿piano,ピアノ,PI A NO
﻿clown,ピエロ,PI E RO
﻿pioneer,ピオニール,PI O NI - RU
﻿picador,ピカドール,PI KA DO - RU
﻿Pixar,ピクサー,PI KU SA -
﻿pixel,ピクセル,PI KU SE RU
﻿picture,ピクチャー,PI KU TI ya -
﻿pictograph,ピクトグラフ,PI KU TO GU RA HU
﻿picnic,ピクニック,PI KU NI tsu KU
﻿pickles,ピクルス,PI KU RU SU
﻿pygmy,ピグミー,PI GU MI -
﻿pique,ピケ,PI KE
﻿picket,ピケット,PI KE tsu TO
﻿picot,ピコット,PI KO tsu TO
﻿picofarad,ピコファラド,PI KO HU a RA DO
﻿Pisa,ピサ,PI SA
﻿piste,ピスト,PI SU TO
﻿pistol,ピストル,PI SU TO RU
﻿piston,ピストン,PI SU TO N
﻿pick,ピック,PI tsu KU
﻿pickoff play,ピックオフプレー,PI tsu KU O HU PU RE -
﻿ice axe,ピッケル,PI tsu KE RU
﻿pitcher,ピッチャー,PI tsu TI ya -
﻿pitching,ピッチング,PI tsu TI N GU
﻿pitching machine,ピッチングマシーン,PI tsu TI N GU MA SI - N
﻿pit,ピット,PI tsu TO
﻿pivot,ピボット,PI BO tsu TO
﻿puree,ピューレ,PI yu - RE
﻿pure,ピュア,PI yu A
﻿pure malt,ピュアモルト,PI yu A MO RU TO
﻿pyramid,ピラミッド,PI RA MI tsu DO
﻿periodic,ピリオディック,PI RI O DE i tsu KU
﻿pyrine,ピリン,PI RI N
﻿pill,ピル,PI RU
﻿Pilgrim Fathers,ピルグリムファーザーズ,PI RU GU RI MU HU a - ZA - ZU
﻿pile,ピロティ,PI RO TE i
﻿pin,ピン,PI N
﻿pinup,ピンアップ,PI N A tsu PU
﻿pin curl,ピンカール,PI N KA - RU
﻿pinky,ピンキー,PI N KI -
﻿pinking,ピンキング,PI N KI N GU
﻿pink mood,ピンクムード,PI N KU MU - DO
﻿pin tuck,ピンタック,PI N TA tsu KU
﻿pinch,ピンチ,PI N TI
﻿pinch hitter,ピンチヒッター,PI N TI HI tsu TA -
﻿pinch runner,ピンチランナー,PI N TI RA N NA -
﻿pinhole,ピンホール,PI N HO - RU
﻿pinpoint,ピンポイント,PI N PO I N TO
﻿pin lever watch,ピンレバーウォッチ,PI N RE BA - U o tsu TI
﻿fugue,フーガ,HU - GA
﻿whodunit,フーダニット,HU - DA NI tsu TO
﻿food,フード,HU - DO
﻿hoop,フープ,HU - PU
﻿Fourier,フーリエ,HU - RI E
﻿fur,ファー,HU a -
﻿Far East,ファーイースト,HU a - I - SU TO
﻿fur coat,ファーコート,HU a - KO - TO
﻿farce,ファース,HU a - SU
﻿first,ファースト,HU a - SU TO
﻿first impression,ファーストインプレッション,HU a - SU TO I N PU RE tsu SI yo N
﻿fast back,ファーストバック,HU a - SU TO BA tsu KU
﻿fast break,ファーストブレーク,HU a - SU TO BU RE - KU
﻿first run,ファーストラン,HU a - SU TO RA N
﻿first lady,ファーストレディー,HU a - SU TO RE DE i -
﻿furniture,ファーニチャー,HU a - NI TI ya -
﻿pharmacy,ファーマシー,HU a - MA SI -
﻿farm,ファーム,HU a - MU
﻿firmware,ファームウェア,HU a - MU U e A
﻿farm stay,ファームステイ,HU a - MU SU TE I
﻿firm banking,ファームバンキング,HU a - MU BA N KI N GU
﻿fire,ファイア,HU a I A
﻿fire alarm,ファイアアラーム,HU a I A A RA - MU
﻿fireproof,ファイアプルーフ,HU a I A PU RU - HU
﻿fireman,ファイアマン,HU a I A MA N
﻿fiberglass,ファイバーガラス,HU a I BA - GA RA SU
﻿fighter,ファイター,HU a I TA -
﻿fighting spirit,ファイティングスピリット,HU a I TE i N GU SU PI RI tsu TO
﻿fight,ファイト,HU a I TO
﻿final,ファイナル,HU a I NA RU
﻿final set,ファイナルセット,HU a I NA RU SE tsu TO
﻿fiber,ファイバー,HU a I BA -
﻿fiberscope,ファイバースコープ,HU a I BA - SU KO - PU
﻿filing system,ファイリングシステム,HU a I RI N GU SI SU TE MU
﻿file,ファイル,HU a I RU
﻿filename,ファイルネーム,HU a I RU NE - MU
﻿fine,ファイン,HU a I N
﻿finder,ファインダー,HU a I N DA -
﻿fine food,ファインフード,HU a I N HU - DO
﻿foul tip,ファウルチップ,HU a U RU TI tsu PU
﻿foul line,ファウルライン,HU a U RU RA I N
﻿foundation,ファウンデーション,HU a U N DE - SI yo N
﻿faction,ファクション,HU a KU SI yo N
﻿factor,ファクター,HU a KU TA -
﻿fact,ファクト,HU a KU TO
﻿factory,ファクトリー,HU a KU TO RI -
﻿factory automation,ファクトリーオートメーション,HU a KU TO RI - O - TO ME - SI yo N
﻿bassoon,ファゴット,HU a GO tsu TO
﻿facade,ファサード,HU a SA - DO
﻿fascist,ファシスト,HU a SI SU TO
﻿fascism,ファシズム,HU a SI ZU MU
﻿fuzzy,ファジー,HU a ZI -
﻿fuzzy logic,ファジーロジック,HU a ZI - RO ZI tsu KU
﻿fastener,ファスナー,HU a SU NA -
﻿fuck,ファック,HU a tsu KU
﻿fashion,ファッション,HU a tsu SI yo N
﻿fashion industry,ファッションインダストリー,HU a tsu SI yo N I N DA SU TO RI -
﻿fashion editor,ファッションエディター,HU a tsu SI yo N E DE i TA -
﻿fashion show,ファッションショー,HU a tsu SI yo N SI yo -
﻿fashion food,ファッションフード,HU a tsu SI yo N HU - DO
﻿fashion massage,ファッションマッサージ,HU a tsu SI yo N MA tsu SA - ZI
﻿fanaticism,ファナティシズム,HU a NA TE i SI ZU MU
﻿fanatic,ファナティック,HU a NA TE i tsu KU
﻿funny,ファニー,HU a NI -
﻿funny face,ファニーフェース,HU a NI - HU e - SU
﻿fabric,ファブリック,HU a BU RI tsu KU
﻿family,ファミリー,HU a MI RI -
﻿family car,ファミリーカー,HU a MI RI - KA -
﻿family name,ファミリーネーム,HU a MI RI - NE - MU
﻿family bike,ファミリーバイク,HU a MI RI - BA I KU
﻿family brand,ファミリーブランド,HU a MI RI - BU RA N DO
﻿family life cycle,ファミリーライフサイクル,HU a MI RI - RA I HU SA I KU RU
﻿far away,ファラウェイ,HU a RA U e I
﻿farad,ファラッド,HU a RA tsu DO
﻿phallicism,ファリシズム,HU a RI SI ZU MU
﻿farce,ファルス,HU a RU SU
﻿fan,ファン,HU a N
﻿funky,ファンキー,HU a N KI -
﻿funk,ファンク,HU a N KU
﻿function,ファンクション,HU a N KU SI yo N
﻿function key,ファンクションキー,HU a N KU SI yo N KI -
﻿functor,ファンクタ,HU a N KU TA
﻿fan club,ファンクラブ,HU a N KU RA BU
﻿fancy,ファンシー,HU a N SI -
﻿fancy goods,ファンシーグッズ,HU a N SI - GU tsu ZU
﻿fancy store,ファンシーストア,HU a N SI - SU TO A
﻿fancy dress,ファンシードレス,HU a N SI - DO RE SU
﻿fancy food,ファンシーフード,HU a N SI - HU - DO
﻿fancy ball,ファンシーボール,HU a N SI - BO - RU
﻿fantasy,ファンタジー,HU a N TA ZI -
﻿fantastic,ファンタスティック,HU a N TA SU TE i tsu KU
﻿foundation,ファンデーション,HU a N DE - SI yo N
﻿phantom,ファントム,HU a N TO MU
﻿fund,ファンド,HU a N DO
﻿fanfare,ファンファール,HU a N HU a - RU
﻿fumble,ファンブル,HU a N BU RU
﻿feeder,フィーダ,HU i - DA
﻿feature,フィーチャ,HU i - TI ya
﻿feeding,フィーディング,HU i - DE i N GU
﻿feet,フィート,HU i - TO
﻿feed,フィード,HU i - DO
﻿feedback,フィードバック,HU i - DO BA tsu KU
﻿fever,フィーバー,HU i - BA -
﻿feeling,フィーリング,HU i - RI N GU
﻿Fields,フィールズ,HU i - RU ZU
﻿field,フィールド,HU i - RU DO
﻿field goal,フィールドゴール,HU i - RU DO GO - RU
﻿field note,フィールドノート,HU i - RU DO NO - TO
﻿field map,フィールドマップ,HU i - RU DO MA tsu PU
﻿fieldman,フィールドマン,HU i - RU DO MA N
﻿fieldwork,フィールドワーク,HU i - RU DO WA - KU
﻿fight money,ファイトマネー,HU a I TO MA NE -
﻿figure,フィギュア,HU i GI yu A
﻿figure skating,フィギュアスケーティング,HU i GI yu A SU KE - TE i N GU
﻿figurative,フィギュラティフ,HU i GI yu RA TE i HU
﻿fixer,フィクサー,HU i KU SA -
﻿fiction,フィクション,HU i KU SI yo N
﻿fix,フィクス,HU i KU SU
﻿fixed,フィクスト,HU i KU SU TO
﻿physical,フィジカル,HU i ZI KA RU
﻿physical protection,フィジカルプロテクション,HU i ZI KA RU PU RO TE KU SI yo N
﻿fix,フィックス,HU i tsu KU SU
﻿fish,フィッシュ,HU i tsu SI yu
﻿fish meal,フィッシュミール,HU i tsu SI yu MI - RU
﻿fishing,フィッシング,HU i tsu SI N GU
﻿fitting,フィッティング,HU i tsu TE i N GU
﻿fitting room,フィッティングルーム,HU i tsu TE i N GU RU - MU
﻿fit,フィット,HU i tsu TO
﻿fitness,フィットネス,HU i tsu TO NE SU
﻿fitness shoes,フィットネスシューズ,HU i tsu TO NE SU SI yu - ZU
﻿finish,フィニッシュ,HU i NI tsu SI yu
﻿fjord,フィヨルド,HU i YO RU DO
﻿Philadelphia,フィラデルフィア,HU i RA DE RU HU i A
﻿Philips,フィリップス,HU i RI tsu PU SU
﻿filibuster,フィリバスター,HU i RI BA SU TA -
﻿fill,フィル,HU i RU
﻿filtering,フィルタリング,HU i RU TA RI N GU
﻿film,フィルム,HU i RU MU
﻿film net,フィルムネット,HU i RU MU NE tsu TO
﻿philosophy,フィロソフィー,HU i RO SO HU i -
﻿fin,フィン,HU i N
﻿finger,フィンガー,HU i N GA -
﻿finger bowl,フィンガーボール,HU i N GA - BO - RU
﻿fingering,フィンガリング,HU i N GA RI N GU
﻿face,フェース,HU e - SU
﻿face value,フェースバリュー,HU e - SU BA RI yu -
﻿phase,フェーズ,HU e - ZU
﻿fatal,フェータル,HU e - TA RU
﻿fade,フェード,HU e - DO
﻿fade ball,フェードボール,HU e - DO BO - RU
﻿fair,フェア,HU e A
﻿fairway,フェアウェイ,HU e A U e I
﻿fair catch,フェアキャッチ,HU e A KI ya tsu TI
﻿fair copy,フェアコピー,HU e A KO PI -
﻿fair sex,フェアセックス,HU e A SE tsu KU SU
﻿fairy,フェアリー,HU e A RI -
﻿fake,フェイク,HU e I KU
﻿facial,フェイシャル,HU e I SI ya RU
﻿face,フェイス,HU e I SU
﻿phase,フェイズ,HU e I ZU
﻿phasing,フェイズィング,HU e I ZU i N GU
﻿fader,フェイダー,HU e I DA -
﻿failure,フェイリュア,HU e I RI yu A
﻿fail,フェイル,HU e I RU
﻿feint,フェイント,HU e I N TO
﻿phaser,フェザー,HU e ZA -
﻿feather plane,フェザープレーン,HU e ZA - PU RE - N
﻿festival,フェスティバル,HU e SU TE i BA RU
﻿fetch,フェッチ,HU e tsu TI
﻿federation,フェデレーション,HU e DE RE - SI yo N
﻿phoenix,フェニックス,HU e NI tsu KU SU
﻿feminine,フェミニン,HU e MI NI N
﻿feminine look,フェミニンルック,HU e MI NI N RU tsu KU
﻿Ferrari,フェラーリ,HU e RA - RI
﻿fellatio,フェラチオ,HU e RA TI O
﻿ferry,フェリー,HU e RI -
﻿ferryboat,フェリーボート,HU e RI - BO - TO
﻿ferrule,フェルウル,HU e RU U RU
﻿felt,フェルト,HU e RU TO
﻿felt pen,フェルトペン,HU e RU TO PE N
﻿ferret,フェレット,HU e RE tsu TO
﻿fellowship,フェローシップ,HU e RO - SI tsu PU
﻿pheromone,フェロモン,HU e RO MO N
﻿fencing,フェンシング,HU e N SI N GU
﻿fence,フェンス,HU e N SU
﻿focus,フォーカス,HU o - KA SU
﻿fork,フォーク,HU o - KU
﻿folk art,フォークアート,HU o - KU A - TO
﻿folk song,フォークソング,HU o - KU SO N GU
﻿folk dance,フォークダンス,HU o - KU DA N SU
﻿forge,フォージ,HU o - ZI
﻿force,フォース,HU o - SU
﻿fortune,フォーチュン,HU o - TI yu N
﻿ford,フォード,HU o - DO
﻿fauvisme,フォービスム,HU o - BI SU MU
﻿formatter,フォーマッタ,HU o - MA tsu TA
﻿formatting,フォーマッティング,HU o - MA tsu TE i N GU
﻿foam,フォーム,HU o - MU
﻿foam rubber,フォームラバー,HU o - MU RA BA -
﻿formation,フォーメーション,HU o - ME - SI yo N
﻿forum,フォーラム,HU o - RA MU
﻿fall,フォール,HU o - RU
﻿fault,フォールト,HU o - RU TO
﻿fore,フォア,HU o A
﻿foie gras,フォアグラ,HU o A GU RA
﻿foreman,フォアマン,HU o A MA N
﻿fog,フォグ,HU o GU
﻿foster child,フォスターチャイルド,HU o SU TA - TI ya I RU DO
﻿fog light,フォッグライト,HU o tsu GU RA I TO
﻿fog lamp,フォッグランプ,HU o tsu GU RA N PU
﻿fossa magna,フォッサマグナ,HU o tsu SA MA GU NA
﻿photo,フォト,HU o TO
﻿photograph,フォトグラフ,HU o TO GU RA HU
﻿photographer,フォトグラファー,HU o TO GU RA HU a -
﻿photography,フォトグラフィー,HU o TO GU RA HU i -
﻿photogenie,フォトジェニー,HU o TO ZI e NI -
﻿photogenic,フォトジェニック,HU o TO ZI e NI tsu KU
﻿photo story,フォトストーリー,HU o TO SU TO - RI -
﻿photodiode,フォトダイオード,HU o TO DA I O - DO
﻿Fodor,フォドー,HU o DO -
﻿phonograph,フォノグラフ,HU o NO GU RA HU
﻿Volkswagen,フォルクスワーゲン,HU o RU KU SU WA - GE N
﻿folder,フォルダ,HU o RU DA
﻿forte,フォルテ,HU o RU TE
﻿fault,フォルト,HU o RU TO
﻿follow,フォロー,HU o RO -
﻿follow wind,フォローウインド,HU o RO - U I N DO
﻿forwarding,フォワーディング,HU o WA - DE i N GU
﻿forward pass,フォワードパス,HU o WA - DO PA SU
﻿phone,フォン,HU o N
﻿fondue,フォンデュー,HU o N DE yu -
﻿font,フォント,HU o N TO
﻿hooker,フッカー,HU tsu KA -
﻿hook,フック,HU tsu KU
﻿hook bowl,フックボール,HU tsu KU BO - RU
﻿hook line,フックライン,HU tsu KU RA I N
﻿football,フットボール,HU tsu TO BO - RU
﻿footlights,フットライト,HU tsu TO RA I TO
﻿footwork,フットワーク,HU tsu TO WA - KU
﻿fusion,フュージョン,HU yu - ZI yo N
﻿future,フューチャー,HU yu - TI ya -
﻿funeral march,フューナラルマーチ,HU yu - NA RA RU MA - TI
﻿flight,フライト,HU RA I TO
﻿flight control,フライトコントロール,HU RA I TO KO N TO RO - RU
﻿flight test,フライトテスト,HU RA I TO TE SU TO
﻿flight bag,フライトバッグ,HU RA I TO BA tsu GU
﻿fried chicken,フライドチキン,HU RA I DO TI KI N
﻿fry pan,フライパン,HU RA I PA N
﻿flywheel,フライホイール,HU RA I HO I - RU
﻿flying,フライング,HU RA I N GU
﻿flounce,フラウンス,HU RA U N SU
﻿fraction,フラクション,HU RA KU SI yo N
﻿fractal,フラクタル,HU RA KU TA RU
﻿flag,フラグ,HU RA GU
﻿fragmentation,フラグメンテーション,HU RA GU ME N TE - SI yo N
﻿fragment,フラグメント,HU RA GU ME N TO
﻿frustration,フラストレーション,HU RA SU TO RE - SI yo N
﻿flag,フラッグ,HU RA tsu GU
﻿flash,フラッシュ,HU RA tsu SI yu
﻿flashback,フラッシュバック,HU RA tsu SI yu BA tsu KU
﻿flashlight,フラッシュライト,HU RA tsu SI yu RA I TO
﻿flat,フラット,HU RA tsu TO
﻿flat collar,フラットカラー,HU RA tsu TO KA RA -
﻿flat race,フラットレース,HU RA tsu TO RE - SU
﻿flapper,フラッパー,HU RA tsu PA -
﻿flap,フラップ,HU RA tsu PU
﻿flap pocket,フラップポケット,HU RA tsu PU PO KE tsu TO
﻿frappe,フラッペ,HU RA tsu PE
﻿flower tea,フラワーティー,HU RA WA - TE i -
﻿frankfurter,フランクフルター,HU RA N KU HU RU TA -
﻿Frankfurt,フランクフルト,HU RA N KU HU RU TO
﻿frankfurter,フランクフルトソーセージ,HU RA N KU HU RU TO SO - SE - ZI
﻿franchise,フランチャイズ,HU RA N TI ya I ZU
﻿franchise chain,フランチャイズチェーン,HU RA N TI ya I ZU TI e - N
﻿flannel,フランネル,HU RA N NE RU
﻿free,フリー,HU RI -
﻿freeway,フリーウェー,HU RI - U e -
﻿freeware,フリーウェア,HU RI - U e A
﻿free agent,フリーエージェント,HU RI - E - ZI e N TO
﻿free kick,フリーキック,HU RI - KI tsu KU
﻿freak,フリーク,HU RI - KU
﻿freezer,フリーザー,HU RI - ZA -
﻿freesia,フリージア,HU RI - ZI A
﻿free skating,フリースケーティング,HU RI - SU KE - TE i N GU
﻿freestyle,フリースタイル,HU RI - SU TA I RU
﻿free throw,フリースロー,HU RI - SU RO -
﻿frieze,フリーズ,HU RI - ZU
﻿free sex,フリーセックス,HU RI - SE tsu KU SU
﻿free tax,フリータックス,HU RI - TA tsu KU SU
﻿freedom,フリーダム,HU RI - DA MU
﻿free trade,フリートレード,HU RI - TO RE - DO
﻿Friedman,フリードマン,HU RI - DO MA N
﻿free batting,フリーバッティング,HU RI - BA tsu TE i N GU
﻿free pass,フリーパス,HU RI - PA SU
﻿flea market,フリーマーケット,HU RI - MA - KE tsu TO
﻿free lance,フリーランス,HU RI - RA N SU
﻿fricassee,フリカッセ,HU RI KA tsu SE
﻿friction,フリクション,HU RI KU SI yo N
﻿frigate,フリゲート,HU RI GE - TO
﻿Frisbee,フリスビー,HU RI SU BI -
﻿flip flop,フリップフロップ,HU RI tsu PU HU RO tsu PU
﻿frill,フリル,HU RI RU
﻿fringe,フリンジ,HU RI N ZI
﻿full,フル,HU RU
﻿fruit,フルーツ,HU RU - TU
﻿fruit parlor,フルーツパーラー,HU RU - TU PA - RA -
﻿fruit punch,フルーツポンチ,HU RU - TU PO N TI
﻿flute,フルート,HU RU - TO
﻿full score,フルスコア,HU RU SU KO A
﻿full set,フルセット,HU RU SE tsu TO
﻿full time,フルタイム,HU RU TA I MU
﻿full name,フルネーム,HU RU NE - MU
﻿fullback,フルバック,HU RU BA tsu KU
﻿full path,フルパス,HU RU PA SU
﻿hurray,フレー,HU RE -
﻿flake,フレーク,HU RE - KU
﻿phrase,フレーズ,HU RE - ZU
﻿flavor,フレーバー,HU RE - BA -
﻿framer,フレーマ,HU RE - MA
﻿frame,フレーム,HU RE - MU
﻿frame out,フレームアウト,HU RE - MU A U TO
﻿frame in,フレームイン,HU RE - MU I N
﻿frame buffer,フレームバッファ,HU RE - MU BA tsu HU a
﻿framework,フレームワーク,HU RE - MU WA - KU
﻿phrasing,フレイジング,HU RE I ZI N GU
﻿flex,フレックス,HU RE tsu KU SU
﻿fresh,フレッシュ,HU RE tsu SI yu
﻿freshman,フレッシュマン,HU RE tsu SI yu MA N
﻿fret,フレット,HU RE tsu TO
﻿fretless,フレットレス,HU RE tsu TO RE SU
﻿French,フレンチ,HU RE N TI
﻿French cancan,フレンチカンカン,HU RE N TI KA N KA N
﻿French kiss,フレンチキス,HU RE N TI KI SU
﻿French sleeve,フレンチスリーブ,HU RE N TI SU RI - BU
﻿French toast,フレンチトースト,HU RE N TI TO - SU TO
﻿French dressing,フレンチドレッシング,HU RE N TI DO RE tsu SI N GU
﻿friendship,フレンドシップ,HU RE N DO SI tsu PU
